Retrieving logs for app dbbootapp in org e19f9a72trial / space dev as rohit.whhjy23@sinhgad.edu...

   2026-06-22T22:41:46.56+0530 [CELL/0] OUT Cell 684caff8-89cd-492b-be01-b3d0835f1763 creating container for instance f152b7d2-5bff-4707-7466-385d
   2026-06-22T22:41:47.48+0530 [CELL/0] OUT Security group rules were updated
   2026-06-22T22:41:47.58+0530 [CELL/0] OUT Cell 684caff8-89cd-492b-be01-b3d0835f1763 successfully created container for instance f152b7d2-5bff-4707-7466-385d
   2026-06-22T22:41:48.66+0530 [CELL/0] OUT Downloading droplet...
   2026-06-22T22:41:49.78+0530 [CELL/0] OUT Downloaded droplet
   2026-06-22T22:41:49.78+0530 [CELL/0] OUT Starting health monitoring of container
   2026-06-22T22:41:49.94+0530 [APP/PROC/WEB/0] OUT Invoking pre-start scripts.
   2026-06-22T22:41:57.89+0530 [APP/PROC/WEB/0] OUT Invoking start command.
   2026-06-22T22:42:01.96+0530 [APP/PROC/WEB/0] OUT Listening for transport dt_socket at address: 8000
   2026-06-22T22:42:02.31+0530 [APP/PROC/WEB/0] OUT Connection created: com.sap.xs.logging.handler.RuntimeConnection@706a04ae
   2026-06-22T22:42:02.31+0530 [APP/PROC/WEB/0] OUT Consumer added: com.sap.xs.logging.agent.LoggingLevelChangeHandler$1@4d1b0d2a
   2026-06-22T22:42:02.41+0530 [APP/PROC/WEB/0] OUT [Agent] Tomcat is initialized
   2026-06-22T22:42:02.41+0530 [APP/PROC/WEB/0] OUT [Agent] Classloader: java.net.URLClassLoader@4b53f538
   2026-06-22T22:42:02.99+0530 [APP/PROC/WEB/0] OUT [Agent] Detected ch/qos/logback/classic/Logger class loading
   2026-06-22T22:42:02.99+0530 [APP/PROC/WEB/0] OUT [Agent] Classloader: jdk.internal.loader.ClassLoaders$AppClassLoader@5a07e868
   2026-06-22T22:42:04.99+0530 [APP/PROC/WEB/0] OUT {"msg":"Server initialization in [2359] milliseconds","level":"INFO","written_ts":"1782148324994906609","logger":"org.apache.catalina.startup.Catalina","written_at":"2026-06-22T17:12:04.977Z","thread":"main","type":"log"}
   2026-06-22T22:42:05.02+0530 [APP/PROC/WEB/0] OUT Register logging level consumer
   2026-06-22T22:42:05.07+0530 [APP/PROC/WEB/0] OUT {"msg":"Starting service [Catalina]","level":"INFO","written_ts":"1782148325078967045","logger":"org.apache.catalina.core.StandardService","written_at":"2026-06-22T17:12:05.078Z","thread":"main","type":"log"}
   2026-06-22T22:42:05.07+0530 [APP/PROC/WEB/0] OUT {"msg":"Starting Servlet engine: []","level":"INFO","written_ts":"1782148325079524697","logger":"org.apache.catalina.core.StandardEngine","written_at":"2026-06-22T17:12:05.079Z","thread":"main","type":"log"}
   2026-06-22T22:42:11.26+0530 [APP/PROC/WEB/0] OUT [Agent] Detected ch/qos/logback/classic/Logger class loading
   2026-06-22T22:42:11.27+0530 [APP/PROC/WEB/0] OUT [Agent] Classloader: ParallelWebappClassLoader
   2026-06-22T22:42:11.27+0530 [APP/PROC/WEB/0] OUT context: ROOT
   2026-06-22T22:42:11.27+0530 [APP/PROC/WEB/0] OUT delegate: false
   2026-06-22T22:42:11.27+0530 [APP/PROC/WEB/0] OUT ----------> Parent Classloader:
   2026-06-22T22:42:11.27+0530 [APP/PROC/WEB/0] OUT java.net.URLClassLoader@4b53f538
   2026-06-22T22:42:11.74+0530 [APP/PROC/WEB/0] OUT 17:12:11,311 |-INFO in ch.qos.logback.classic.LoggerContext[default] - This is logback-classic version ?
   2026-06-22T22:42:11.74+0530 [APP/PROC/WEB/0] OUT 17:12:11,325 |-INFO in ch.qos.logback.classic.util.ContextInitializer@5fc27e3f - Here is a list of configurators discovered as a service, by rank:
   2026-06-22T22:42:11.74+0530 [APP/PROC/WEB/0] OUT 17:12:11,325 |-INFO in ch.qos.logback.classic.util.ContextInitializer@5fc27e3f -   org.springframework.boot.logging.logback.RootLogLevelConfigurator
   2026-06-22T22:42:11.74+0530 [APP/PROC/WEB/0] OUT 17:12:11,325 |-INFO in ch.qos.logback.classic.util.ContextInitializer@5fc27e3f - They will be invoked in order until ExecutionStatus.DO_NOT_INVOKE_NEXT_IF_ANY is returned.
   2026-06-22T22:42:11.74+0530 [APP/PROC/WEB/0] OUT 17:12:11,325 |-INFO in ch.qos.logback.classic.util.ContextInitializer@5fc27e3f - Constructed configurator of type class org.springframework.boot.logging.logback.RootLogLevelConfigurator
   2026-06-22T22:42:11.74+0530 [APP/PROC/WEB/0] OUT 17:12:11,326 |-INFO in ch.qos.logback.classic.util.ContextInitializer@5fc27e3f - org.springframework.boot.logging.logback.RootLogLevelConfigurator.configure() call lasted 1 milliseconds. ExecutionStatus=INVOKE_NEXT_IF_ANY
   2026-06-22T22:42:11.74+0530 [APP/PROC/WEB/0] OUT 17:12:11,326 |-INFO in ch.qos.logback.classic.util.ContextInitializer@5fc27e3f - Trying to configure with ch.qos.logback.classic.joran.SerializedModelConfigurator
   2026-06-22T22:42:11.74+0530 [APP/PROC/WEB/0] OUT 17:12:11,327 |-INFO in ch.qos.logback.classic.util.ContextInitializer@5fc27e3f - Constructed configurator of type class ch.qos.logback.classic.joran.SerializedModelConfigurator
   2026-06-22T22:42:11.74+0530 [APP/PROC/WEB/0] OUT 17:12:11,327 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Could NOT find resource [logback-test.scmo]
   2026-06-22T22:42:11.74+0530 [APP/PROC/WEB/0] OUT 17:12:11,327 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Could NOT find resource [logback.scmo]
   2026-06-22T22:42:11.74+0530 [APP/PROC/WEB/0] OUT 17:12:11,328 |-INFO in ch.qos.logback.classic.util.ContextInitializer@5fc27e3f - ch.qos.logback.classic.joran.SerializedModelConfigurator.configure() call lasted 0 milliseconds. ExecutionStatus=INVOKE_NEXT_IF_ANY
   2026-06-22T22:42:11.74+0530 [APP/PROC/WEB/0] OUT 17:12:11,328 |-INFO in ch.qos.logback.classic.util.ContextInitializer@5fc27e3f - Trying to configure with ch.qos.logback.classic.util.DefaultJoranConfigurator
   2026-06-22T22:42:11.74+0530 [APP/PROC/WEB/0] OUT 17:12:11,328 |-INFO in ch.qos.logback.classic.util.ContextInitializer@5fc27e3f - Constructed configurator of type class ch.qos.logback.classic.util.DefaultJoranConfigurator
   2026-06-22T22:42:11.74+0530 [APP/PROC/WEB/0] OUT 17:12:11,328 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Found resource [file:META-INF/.sap_java_buildpack/tomcat/conf/logback.xml] at [file:META-INF/.sap_java_buildpack/tomcat/conf/logback.xml]
   2026-06-22T22:42:11.74+0530 [APP/PROC/WEB/0] OUT 17:12:11,627 |-INFO in ch.qos.logback.classic.model.processor.LoggerContextListenerModelHandler - Adding LoggerContextListener of type [ch.qos.logback.classic.jul.LevelChangePropagator] to the object stack
